product_id,product_name,category,tier,unit_price,base_demand,reorder_point,lead_time_days
SAI-GEN0260,Taste the Difference Fresh Tortilla Chips 200g,Snacks,Taste the Difference,2.66,27,21,3
SAI-GEN0261,Sainsbury's Salted Apples 6pk,Fresh Produce,Sainsbury's,4.87,49,25,2
SAI-GEN0262,Sainsbury's Stone Baked Cream 300ml,Dairy & Eggs,Sainsbury's,0.79,64,47,1
SAI-GEN0263,Walkers Classic Ketchup 500g,Ambient Grocery,Branded,6.6,32,21,4
SAI-GEN0264,Sainsbury's finest Yogurt 500g,Dairy & Eggs,Sainsbury's,1.91,35,24,2
SAI-GEN0265,Sainsbury's Corn Fed Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,6.84,44,28,2
SAI-GEN0266,Sainsbury's Scottish Fabric Conditioner 1L,Household,Sainsbury's,7.43,41,22,4
SAI-GEN0267,Sainsbury's Spicy Foil 10m,Household,Sainsbury's,1.97,53,38,2
SAI-GEN0268,Sainsbury's Mixed Plasters 40pk,Health & Beauty,Sainsbury's,1.47,69,50,2
SAI-GEN0269,Sainsbury's So Good Tea Bags 80pk,Drinks,So Good,2.89,52,39,3
SAI-GEN0270,Sainsbury's So Good Bagels 5pk,Fresh Bakery,So Good,1.39,73,55,1
SAI-GEN0271,Sainsbury's Premium Grapes 500g,Fresh Produce,Sainsbury's,3.59,43,33,2
SAI-GEN0272,Sainsbury's Sweet Shower Gel 250ml,Health & Beauty,Sainsbury's,3.01,72,46,2
SAI-GEN0273,Sainsbury's Handmade Peas 1kg,Frozen,Sainsbury's,1.85,45,29,4
SAI-GEN0274,Sainsbury's Salted Muffins 4pk,Fresh Bakery,Sainsbury's,1.64,36,25,1
SAI-GEN0275,Sainsbury's Unsalted Chopped Tomatoes 400g,Ambient Grocery,Sainsbury's,3.56,38,22,1
SAI-GEN0276,Sainsbury's So Good Tea Bags 80pk,Drinks,So Good,4.07,79,44,2
SAI-GEN0277,Taste the Difference Handmade Fabric Conditioner 1L,Household,Taste the Difference,7.05,23,14,1
SAI-GEN0278,Pringles Spicy Crisps 6pk,Snacks,Branded,8.48,59,46,2
SAI-GEN0279,Sainsbury's Mixed Chicken Nuggets 500g,Frozen,Sainsbury's,7.13,38,19,1
SAI-GEN0280,Sainsbury's Organic Mozzarella 125g,Dairy & Eggs,Sainsbury's,5.7,50,26,1
SAI-GEN0281,Sainsbury's Corn Fed Mozzarella 125g,Dairy & Eggs,Sainsbury's,5.46,51,36,1
SAI-GEN0282,Sainsbury's Mixed Rolls 6pk,Fresh Bakery,Sainsbury's,6.15,69,53,2
SAI-GEN0283,Sainsbury's Scottish Chicken Nuggets 500g,Frozen,Sainsbury's,2.43,64,49,4
SAI-GEN0284,Andrex finest Washing Up Liquid 500ml,Household,Branded,6.46,48,34,3
SAI-GEN0285,Sainsbury's Free Range Pork Sausages 8pk,Meat & Fish,Sainsbury's,5.51,41,29,4
SAI-GEN0286,Sainsbury's So Good Soup 400g,Ambient Grocery,So Good,4.0,67,35,1
SAI-GEN0287,Taste the Difference Mixed Peas 1kg,Frozen,Taste the Difference,1.97,29,21,3
SAI-GEN0288,Sainsbury's Stone Baked Chicken Nuggets 500g,Frozen,Sainsbury's,7.96,73,39,4
SAI-GEN0289,Sainsbury's So Good Shower Gel 250ml,Health & Beauty,So Good,2.95,87,49,1
SAI-GEN0290,Taste the Difference Free Range Peas 1kg,Frozen,Taste the Difference,11.85,28,17,2
SAI-GEN0291,Taste the Difference Mixed Hash Browns 700g,Frozen,Taste the Difference,8.01,25,13,4
SAI-GEN0292,Sainsbury's Sweet Wraps 8pk,Fresh Bakery,Sainsbury's,6.72,73,53,2
SAI-GEN0293,Sainsbury's British Rolls 6pk,Fresh Bakery,Sainsbury's,3.15,60,37,1
SAI-GEN0294,Sainsbury's Mixed Peas 1kg,Frozen,Sainsbury's,1.36,64,34,2
SAI-GEN0295,Sainsbury's Unsalted Hand Wash 250ml,Health & Beauty,Sainsbury's,7.32,57,28,2
SAI-GEN0296,Taste the Difference Unsalted Pizza 400g,Frozen,Taste the Difference,10.14,34,20,1
SAI-GEN0297,Sainsbury's Organic Cheddar 400g,Dairy & Eggs,Sainsbury's,2.57,38,27,2
SAI-GEN0298,Sainsbury's Frozen Crackers 150g,Snacks,Sainsbury's,4.82,51,35,2
SAI-GEN0299,Sainsbury's So Good Foil 10m,Household,So Good,4.05,80,60,1
SAI-GEN0300,Sainsbury's Corn Fed Carrots 1kg,Fresh Produce,Sainsbury's,5.54,70,37,1
SAI-GEN0301,Sainsbury's Sweet Beef Mince 500g,Meat & Fish,Sainsbury's,4.04,57,42,1
SAI-GEN0302,Sainsbury's finest Blueberries 150g,Fresh Produce,Sainsbury's,2.57,44,30,2
SAI-GEN0303,Sainsbury's Roasted Paracetamol 16pk,Health & Beauty,Sainsbury's,2.35,74,37,3
SAI-GEN0304,Sainsbury's So Good Pizza 400g,Frozen,So Good,3.5,89,53,3
SAI-GEN0305,Sainsbury's Handmade White Bread 800g,Fresh Bakery,Sainsbury's,1.31,52,40,2
SAI-GEN0306,Taste the Difference Unsalted Bin Liners 20pk,Household,Taste the Difference,11.58,26,17,3
SAI-GEN0307,Sainsbury's So Good Cotton Pads 100pk,Health & Beauty,So Good,3.51,60,47,4
SAI-GEN0308,Sainsbury's Handmade Yogurt 500g,Dairy & Eggs,Sainsbury's,1.04,60,34,2
SAI-GEN0309,Sainsbury's Spicy Rice 1kg,Ambient Grocery,Sainsbury's,1.63,37,25,2
SAI-GEN0310,Sainsbury's Fresh Baked Beans 415g,Ambient Grocery,Sainsbury's,3.83,48,35,2
SAI-GEN0311,Taste the Difference Smoked Chicken Nuggets 500g,Frozen,Taste the Difference,3.44,16,12,2
SAI-GEN0312,Sainsbury's Stone Baked Cereal 500g,Ambient Grocery,Sainsbury's,6.8,46,29,1
SAI-GEN0313,Sainsbury's Salted Potatoes 2.5kg,Fresh Produce,Sainsbury's,3.1,50,38,1
SAI-GEN0314,Sainsbury's Roasted Lasagne 400g,Frozen,Sainsbury's,6.79,64,40,2
SAI-GEN0315,Sainsbury's Stone Baked Rolls 6pk,Fresh Bakery,Sainsbury's,4.87,68,47,2
SAI-GEN0316,Sainsbury's Handmade Coffee 200g,Drinks,Sainsbury's,6.87,46,35,3
SAI-GEN0317,Taste the Difference finest Olive Oil 500ml,Ambient Grocery,Taste the Difference,4.89,33,20,4
SAI-GEN0318,Walkers finest Foil 10m,Household,Branded,8.68,36,18,3
SAI-GEN0319,Sainsbury's Unsalted Butter 250g,Dairy & Eggs,Sainsbury's,6.67,41,31,1
SAI-GEN0320,Cadbury British Ketchup 500g,Ambient Grocery,Branded,8.58,43,22,4
SAI-GEN0321,Taste the Difference Fresh Rolls 6pk,Fresh Bakery,Taste the Difference,2.78,22,17,1
SAI-GEN0322,Sainsbury's So Good Popcorn 100g,Snacks,So Good,4.05,56,32,4
SAI-GEN0323,Taste the Difference Premium Salmon Fillets 240g,Meat & Fish,Taste the Difference,8.79,34,19,1
SAI-GEN0324,Sainsbury's Classic Brie 200g,Dairy & Eggs,Sainsbury's,1.52,68,34,1
SAI-GEN0325,Sainsbury's So Good Chopped Tomatoes 400g,Ambient Grocery,So Good,3.33,63,49,3
SAI-GEN0326,Sainsbury's Corn Fed Nuts 200g,Snacks,Sainsbury's,6.59,62,38,1
SAI-GEN0327,Sainsbury's Roasted Peas 1kg,Frozen,Sainsbury's,6.93,74,52,4
SAI-GEN0328,Sainsbury's So Good Washing Up Liquid 500ml,Household,So Good,1.49,84,46,2
SAI-GEN0329,Sainsbury's finest Peanut Butter 280g,Ambient Grocery,Sainsbury's,1.36,58,44,2
SAI-GEN0330,Taste the Difference Chilled Plasters 40pk,Health & Beauty,Taste the Difference,4.75,16,10,1
SAI-GEN0331,Taste the Difference Handmade Bacon 300g,Meat & Fish,Taste the Difference,0.96,26,19,1
SAI-GEN0332,Taste the Difference Free Range Bleach 750ml,Household,Taste the Difference,1.5,23,17,2
SAI-GEN0333,Sainsbury's Roasted Baguette,Fresh Bakery,Sainsbury's,5.88,44,27,1
SAI-GEN0334,Sainsbury's Unsalted Bin Liners 20pk,Household,Sainsbury's,1.24,42,23,2
SAI-GEN0335,Persil Chilled Squash 1L,Drinks,Branded,5.16,47,32,1
SAI-GEN0336,Sainsbury's Chilled Olive Oil 500ml,Ambient Grocery,Sainsbury's,1.18,60,41,1
SAI-GEN0337,Sainsbury's So Good Tea Bags 80pk,Drinks,So Good,5.45,72,56,1
SAI-GEN0338,Sainsbury's Classic Salmon Fillets 240g,Meat & Fish,Sainsbury's,7.74,58,39,2
SAI-GEN0339,Taste the Difference Mixed Bleach 750ml,Household,Taste the Difference,9.48,22,11,3
SAI-GEN0340,Sainsbury's Fresh Fish Fingers 10pk,Frozen,Sainsbury's,0.78,43,24,1
SAI-GEN0341,Sainsbury's Corn Fed Croissants 4pk,Fresh Bakery,Sainsbury's,7.68,61,45,1
SAI-GEN0342,Sainsbury's Organic Pasta 500g,Ambient Grocery,Sainsbury's,5.26,68,35,1
SAI-GEN0343,Sainsbury's Unsalted Cola 2L,Drinks,Sainsbury's,2.6,57,42,1
SAI-GEN0344,Taste the Difference Mixed Cola 2L,Drinks,Taste the Difference,5.61,25,14,2
SAI-GEN0345,Sainsbury's So Good Sponges 4pk,Household,So Good,1.51,82,46,3
SAI-GEN0346,Kellogg's Classic Tea Bags 80pk,Drinks,Branded,8.1,50,28,1
SAI-GEN0347,Sainsbury's Scottish Salmon Fillets 240g,Meat & Fish,Sainsbury's,1.55,58,32,3
SAI-GEN0348,Taste the Difference Corn Fed Mozzarella 125g,Dairy & Eggs,Taste the Difference,6.21,24,14,2
SAI-GEN0349,Sainsbury's Premium Lemonade 2L,Drinks,Sainsbury's,1.82,48,29,1
SAI-GEN0350,Sainsbury's Frozen Sponges 4pk,Household,Sainsbury's,6.78,72,47,3
SAI-GEN0351,Sainsbury's Mixed Pasta 500g,Ambient Grocery,Sainsbury's,5.45,43,27,2
SAI-GEN0352,Sainsbury's Smoked Chicken Breast 600g,Meat & Fish,Sainsbury's,4.95,51,29,3
SAI-GEN0353,Sainsbury's Sweet Milk 2 Pints,Dairy & Eggs,Sainsbury's,4.69,66,42,1
SAI-GEN0354,Sainsbury's Smoked Bacon 300g,Meat & Fish,Sainsbury's,7.97,69,52,2
SAI-GEN0355,Taste the Difference Stone Baked Rice Cakes 130g,Snacks,Taste the Difference,6.2,17,13,2
SAI-GEN0356,Sainsbury's Sweet Hash Browns 700g,Frozen,Sainsbury's,6.77,43,33,1
SAI-GEN0357,Taste the Difference Salted Shower Gel 250ml,Health & Beauty,Taste the Difference,6.88,19,9,1
SAI-GEN0358,Sainsbury's Scottish Baguette,Fresh Bakery,Sainsbury's,3.55,75,45,1
SAI-GEN0359,Taste the Difference Scottish Ibuprofen 16pk,Health & Beauty,Taste the Difference,2.88,25,14,3
SAI-GEN0360,Sainsbury's Chilled Mozzarella 125g,Dairy & Eggs,Sainsbury's,1.4,68,51,1
SAI-GEN0361,Sainsbury's Mixed Toilet Roll 9pk,Household,Sainsbury's,4.11,46,30,1
SAI-GEN0362,Taste the Difference Smoked Paracetamol 16pk,Health & Beauty,Taste the Difference,11.64,34,23,4
SAI-GEN0363,Sainsbury's Frozen Chocolate Bar 200g,Snacks,Sainsbury's,4.39,41,25,3
SAI-GEN0364,Sainsbury's Fresh Crackers 150g,Snacks,Sainsbury's,6.02,39,19,2
SAI-GEN0365,Sainsbury's Fresh Bin Liners 20pk,Household,Sainsbury's,2.86,58,30,4
SAI-GEN0366,Taste the Difference Roasted Oranges 5pk,Fresh Produce,Taste the Difference,4.44,24,13,1
SAI-GEN0367,Sainsbury's Classic Oranges 5pk,Fresh Produce,Sainsbury's,7.16,36,19,2
SAI-GEN0368,Sainsbury's Fresh Pizza 400g,Frozen,Sainsbury's,1.26,56,38,3
SAI-GEN0369,Taste the Difference Organic Bin Liners 20pk,Household,Taste the Difference,2.07,24,15,1
SAI-GEN0370,Taste the Difference Premium Foil 10m,Household,Taste the Difference,2.97,27,14,4
SAI-GEN0371,Taste the Difference Salted Wholemeal Bread 800g,Fresh Bakery,Taste the Difference,9.98,35,20,2
SAI-GEN0372,Sainsbury's Fresh Chicken Breast 600g,Meat & Fish,Sainsbury's,1.28,68,42,2
SAI-GEN0373,Sainsbury's Smoked Peanut Butter 280g,Ambient Grocery,Sainsbury's,7.06,38,20,1
SAI-GEN0374,Sainsbury's Handmade Salmon Fillets 240g,Meat & Fish,Sainsbury's,7.82,48,24,2
SAI-GEN0375,Sainsbury's So Good Soup 400g,Ambient Grocery,So Good,2.18,55,30,3
SAI-GEN0376,Sainsbury's Free Range Lamb Chops 400g,Meat & Fish,Sainsbury's,6.53,36,19,4
SAI-GEN0377,Sainsbury's Organic Cola 2L,Drinks,Sainsbury's,3.05,46,30,3
SAI-GEN0378,Sainsbury's Unsalted Bacon 300g,Meat & Fish,Sainsbury's,2.13,37,24,1
SAI-GEN0379,Sainsbury's Frozen Bin Liners 20pk,Household,Sainsbury's,7.84,51,29,4
SAI-GEN0380,Sainsbury's Stone Baked Laundry Pods 20pk,Household,Sainsbury's,6.07,51,36,1
SAI-GEN0381,Taste the Difference Handmade Chicken Breast 600g,Meat & Fish,Taste the Difference,5.1,35,19,3
SAI-GEN0382,Cadbury Smoked Rice Cakes 130g,Snacks,Branded,6.21,52,36,2
SAI-GEN0383,Sainsbury's Free Range Lamb Chops 400g,Meat & Fish,Sainsbury's,6.35,54,41,1
SAI-GEN0384,Sainsbury's Free Range Milk 2 Pints,Dairy & Eggs,Sainsbury's,1.19,68,54,1
SAI-GEN0385,Sainsbury's Fresh Tea Bags 80pk,Drinks,Sainsbury's,4.88,61,38,2
SAI-GEN0386,Taste the Difference Salted Brie 200g,Dairy & Eggs,Taste the Difference,11.04,21,12,1
SAI-GEN0387,Sainsbury's So Good Carrots 1kg,Fresh Produce,So Good,2.02,69,55,2
SAI-GEN0388,Sainsbury's So Good Wraps 8pk,Fresh Bakery,So Good,2.05,71,41,2
SAI-GEN0389,Sainsbury's Roasted Croissants 4pk,Fresh Bakery,Sainsbury's,4.66,71,40,1
SAI-GEN0390,Colgate Premium Tea Bags 80pk,Drinks,Branded,8.94,38,26,4
SAI-GEN0391,Fairy Chilled Hand Wash 250ml,Health & Beauty,Branded,3.93,49,32,4
SAI-GEN0392,Sainsbury's So Good Washing Up Liquid 500ml,Household,So Good,1.46,74,52,1
SAI-GEN0393,Sainsbury's So Good Sourdough 400g,Fresh Bakery,So Good,4.51,76,42,2
SAI-GEN0394,Sainsbury's Roasted Fish Fingers 10pk,Frozen,Sainsbury's,5.72,51,38,3
SAI-GEN0395,Pringles Sweet Rice Cakes 130g,Snacks,Branded,9.52,30,16,4
SAI-GEN0396,Sainsbury's So Good Baguette,Fresh Bakery,So Good,2.42,81,40,2
SAI-GEN0397,Andrex Salted Laundry Pods 20pk,Household,Branded,0.92,37,29,3
SAI-GEN0398,Sainsbury's Chilled Toilet Roll 9pk,Household,Sainsbury's,6.89,49,38,1
SAI-GEN0399,Taste the Difference Organic Laundry Pods 20pk,Household,Taste the Difference,8.76,18,11,1
SAI-GEN0400,Sainsbury's Fresh Ice Cream 1L,Frozen,Sainsbury's,5.04,65,48,2
SAI-GEN0401,Sainsbury's Classic Bleach 750ml,Household,Sainsbury's,6.37,37,28,2
SAI-GEN0402,Taste the Difference Handmade Sourdough 400g,Fresh Bakery,Taste the Difference,2.25,31,16,1
SAI-GEN0403,Sainsbury's So Good Tortilla Chips 200g,Snacks,So Good,1.69,80,45,1
SAI-GEN0404,Sainsbury's British Oven Chips 1.5kg,Frozen,Sainsbury's,3.64,64,33,3
SAI-GEN0405,Colgate Smoked Shower Gel 250ml,Health & Beauty,Branded,5.88,54,36,3
SAI-GEN0406,Taste the Difference Smoked Carrots 1kg,Fresh Produce,Taste the Difference,4.04,30,17,1
SAI-GEN0407,Sainsbury's Mixed Blueberries 150g,Fresh Produce,Sainsbury's,4.79,58,34,1
SAI-GEN0408,Colgate Premium Toothpaste 75ml,Health & Beauty,Branded,9.84,60,33,3
SAI-GEN0409,Taste the Difference British Spinach 200g,Fresh Produce,Taste the Difference,2.58,28,17,1
SAI-GEN0410,Sainsbury's Chilled Pizza 400g,Frozen,Sainsbury's,5.06,36,27,1
SAI-GEN0411,Taste the Difference Organic Tomatoes 500g,Fresh Produce,Taste the Difference,10.83,17,10,2
SAI-GEN0412,L'Oreal Frozen Peanut Butter 280g,Ambient Grocery,Branded,4.64,36,25,3
SAI-GEN0413,Sainsbury's Classic Turkey Mince 500g,Meat & Fish,Sainsbury's,6.56,43,28,4
SAI-GEN0414,Sainsbury's Unsalted Ice Cream 1L,Frozen,Sainsbury's,4.78,39,22,2
SAI-GEN0415,Sainsbury's Value Oranges 5pk,Fresh Produce,Sainsbury's,4.96,72,40,1
SAI-GEN0416,Sainsbury's Free Range Rolls 6pk,Fresh Bakery,Sainsbury's,0.62,49,32,1
SAI-GEN0417,Taste the Difference Spicy Rice Cakes 130g,Snacks,Taste the Difference,10.83,24,14,2
SAI-GEN0418,Sainsbury's Roasted Apples 6pk,Fresh Produce,Sainsbury's,4.09,69,42,1
SAI-GEN0419,Taste the Difference Premium Croissants 4pk,Fresh Bakery,Taste the Difference,7.77,30,22,1
SAI-GEN0420,Sainsbury's Mixed Lasagne 400g,Frozen,Sainsbury's,0.59,72,57,4
SAI-GEN0421,Sainsbury's Organic Baked Beans 415g,Ambient Grocery,Sainsbury's,3.27,56,42,4
SAI-GEN0422,Taste the Difference Fresh Oven Chips 1.5kg,Frozen,Taste the Difference,6.4,27,13,4
SAI-GEN0423,Sainsbury's Mixed Shampoo 250ml,Health & Beauty,Sainsbury's,0.94,59,39,2
SAI-GEN0424,Sainsbury's Chilled Hand Wash 250ml,Health & Beauty,Sainsbury's,6.96,38,26,3
SAI-GEN0425,Nestle finest Squash 1L,Drinks,Branded,6.7,44,29,3
SAI-GEN0426,Taste the Difference Salted Strawberries 400g,Fresh Produce,Taste the Difference,3.42,23,14,2
SAI-GEN0427,Persil Roasted Toothpaste 75ml,Health & Beauty,Branded,3.78,50,33,1
SAI-GEN0428,Nivea Spicy Toothpaste 75ml,Health & Beauty,Branded,4.32,57,41,2
SAI-GEN0429,Colgate Mixed Coffee 200g,Drinks,Branded,5.73,50,33,1
SAI-GEN0430,Walkers Salted Squash 1L,Drinks,Branded,7.33,35,21,3
SAI-GEN0431,Sainsbury's Chilled Turkey Mince 500g,Meat & Fish,Sainsbury's,0.73,73,53,1
SAI-GEN0432,Sainsbury's Value Peas 1kg,Frozen,Sainsbury's,4.37,67,39,4
SAI-GEN0433,Taste the Difference Free Range Laundry Pods 20pk,Household,Taste the Difference,6.04,28,21,4
SAI-GEN0434,Sainsbury's Corn Fed Bleach 750ml,Household,Sainsbury's,7.26,37,22,3
SAI-GEN0435,Sainsbury's So Good Ketchup 500g,Ambient Grocery,So Good,4.72,58,36,4
SAI-GEN0436,Sainsbury's Handmade Cod Fillets 400g,Meat & Fish,Sainsbury's,3.8,64,41,4
SAI-GEN0437,Taste the Difference Fresh Ice Cream 1L,Frozen,Taste the Difference,8.56,33,20,1
SAI-GEN0438,Sainsbury's Premium Strawberries 400g,Fresh Produce,Sainsbury's,6.96,47,32,2
SAI-GEN0439,Coca-Cola Spicy Foil 10m,Household,Branded,7.19,58,39,1
SAI-GEN0440,Sainsbury's So Good Strawberries 400g,Fresh Produce,So Good,1.24,84,61,2
SAI-GEN0441,Sainsbury's British Pizza 400g,Frozen,Sainsbury's,7.45,62,33,4
SAI-GEN0442,Sainsbury's Handmade Baguette,Fresh Bakery,Sainsbury's,7.62,75,47,2
SAI-GEN0443,Sainsbury's Frozen Blueberries 150g,Fresh Produce,Sainsbury's,6.47,43,27,1
SAI-GEN0444,Taste the Difference Premium Turkey Mince 500g,Meat & Fish,Taste the Difference,5.01,17,8,4
SAI-GEN0445,Sainsbury's Stone Baked Lamb Chops 400g,Meat & Fish,Sainsbury's,1.18,65,37,3
SAI-GEN0446,Kellogg's Value Cereal 500g,Ambient Grocery,Branded,7.31,32,25,1
SAI-GEN0447,Sainsbury's Sweet Sourdough 400g,Fresh Bakery,Sainsbury's,3.56,38,22,2
SAI-GEN0448,Sainsbury's So Good Milk 2 Pints,Dairy & Eggs,So Good,1.9,53,38,2
SAI-GEN0449,Sainsbury's So Good Cream 300ml,Dairy & Eggs,So Good,3.04,89,70,1
SAI-GEN0450,Taste the Difference Premium Cola 2L,Drinks,Taste the Difference,0.95,32,16,2
SAI-GEN0451,Sainsbury's Premium Lamb Chops 400g,Meat & Fish,Sainsbury's,7.69,53,30,1
SAI-GEN0452,Kellogg's Value Cotton Pads 100pk,Health & Beauty,Branded,2.95,54,32,3
SAI-GEN0453,Colgate Handmade Laundry Pods 20pk,Household,Branded,1.78,35,25,1
SAI-GEN0454,Sainsbury's British Mixed Veg 1kg,Frozen,Sainsbury's,6.22,62,42,4
SAI-GEN0455,Sainsbury's Handmade Energy Drink 500ml,Drinks,Sainsbury's,3.97,36,25,2
SAI-GEN0456,Sainsbury's Classic Peanut Butter 280g,Ambient Grocery,Sainsbury's,4.63,68,38,2
SAI-GEN0457,Sainsbury's Scottish Oven Chips 1.5kg,Frozen,Sainsbury's,4.67,54,35,4
SAI-GEN0458,Sainsbury's Classic Peas 1kg,Frozen,Sainsbury's,7.45,73,47,1
SAI-GEN0459,Coca-Cola Corn Fed Laundry Pods 20pk,Household,Branded,5.76,45,24,3
SAI-GEN0460,Sainsbury's Value Rolls 6pk,Fresh Bakery,Sainsbury's,4.21,67,45,1
SAI-GEN0461,Sainsbury's Corn Fed Bananas,Fresh Produce,Sainsbury's,2.84,54,30,2
SAI-GEN0462,Sainsbury's So Good Lamb Chops 400g,Meat & Fish,So Good,2.98,68,44,2
SAI-GEN0463,Sainsbury's Free Range Mixed Veg 1kg,Frozen,Sainsbury's,2.0,53,36,4
SAI-GEN0464,Sainsbury's Free Range Lamb Chops 400g,Meat & Fish,Sainsbury's,3.67,47,33,1
SAI-GEN0465,Heinz Mixed Chocolate Bar 200g,Snacks,Branded,9.44,30,22,4
SAI-GEN0466,Taste the Difference Salted Mozzarella 125g,Dairy & Eggs,Taste the Difference,11.73,28,20,1
SAI-GEN0467,Colgate Stone Baked Chocolate Bar 200g,Snacks,Branded,4.85,60,35,4
SAI-GEN0468,Sainsbury's Roasted Olive Oil 500ml,Ambient Grocery,Sainsbury's,2.15,74,57,4
SAI-GEN0469,Sainsbury's Frozen Prawns 200g,Meat & Fish,Sainsbury's,1.6,75,40,1
SAI-GEN0470,Sainsbury's Handmade Baguette,Fresh Bakery,Sainsbury's,1.38,44,30,2
SAI-GEN0471,Sainsbury's Spicy Sourdough 400g,Fresh Bakery,Sainsbury's,1.62,43,29,2
SAI-GEN0472,Sainsbury's So Good Sparkling Water 6x500ml,Drinks,So Good,1.97,73,50,2
SAI-GEN0473,Sainsbury's finest Sourdough 400g,Fresh Bakery,Sainsbury's,6.47,37,22,2
SAI-GEN0474,Sainsbury's Chilled Tortilla Chips 200g,Snacks,Sainsbury's,7.95,74,42,4
SAI-GEN0475,Sainsbury's Frozen Sourdough 400g,Fresh Bakery,Sainsbury's,7.84,58,43,2
SAI-GEN0476,Sainsbury's Unsalted Eggs 12pk,Dairy & Eggs,Sainsbury's,6.07,44,24,1
SAI-GEN0477,Sainsbury's Free Range Chocolate Bar 200g,Snacks,Sainsbury's,2.19,56,43,1
SAI-GEN0478,Nivea Free Range Washing Up Liquid 500ml,Household,Branded,7.93,56,29,2
SAI-GEN0479,Sainsbury's Salted Muffins 4pk,Fresh Bakery,Sainsbury's,1.71,39,29,1
SAI-GEN0480,Sainsbury's British Toothpaste 75ml,Health & Beauty,Sainsbury's,5.92,64,44,3
SAI-GEN0481,Sainsbury's Sweet Mints 4pk,Snacks,Sainsbury's,3.97,65,33,3
SAI-GEN0482,Sainsbury's Frozen Pork Sausages 8pk,Meat & Fish,Sainsbury's,3.81,46,33,1
SAI-GEN0483,Sainsbury's Fresh Broccoli 300g,Fresh Produce,Sainsbury's,1.14,73,44,1
SAI-GEN0484,Sainsbury's British Lasagne 400g,Frozen,Sainsbury's,1.88,71,47,2
SAI-GEN0485,Coca-Cola Spicy Nuts 200g,Snacks,Branded,2.13,53,27,4
SAI-GEN0486,Sainsbury's Premium Sparkling Water 6x500ml,Drinks,Sainsbury's,5.35,53,38,2
SAI-GEN0487,Persil Chilled Sponges 4pk,Household,Branded,7.29,33,20,1
SAI-GEN0488,Sainsbury's So Good White Bread 800g,Fresh Bakery,So Good,0.43,79,55,1
SAI-GEN0489,Sainsbury's Fresh Bacon 300g,Meat & Fish,Sainsbury's,2.68,40,21,2
SAI-GEN0490,Sainsbury's Corn Fed Turkey Mince 500g,Meat & Fish,Sainsbury's,7.46,51,27,2
SAI-GEN0491,Taste the Difference Handmade Hand Wash 250ml,Health & Beauty,Taste the Difference,8.42,31,20,4
SAI-GEN0492,Sainsbury's British Turkey Mince 500g,Meat & Fish,Sainsbury's,0.59,42,24,3
SAI-GEN0493,Sainsbury's Sweet Foil 10m,Household,Sainsbury's,6.28,58,46,2
SAI-GEN0494,Taste the Difference Sweet Tea Bags 80pk,Drinks,Taste the Difference,1.11,25,15,2
SAI-GEN0495,Sainsbury's Fresh Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,3.31,63,49,2
SAI-GEN0496,Sainsbury's finest Milk 2 Pints,Dairy & Eggs,Sainsbury's,1.85,56,43,1
SAI-GEN0497,Sainsbury's Scottish Chicken Nuggets 500g,Frozen,Sainsbury's,4.17,37,25,1
SAI-GEN0498,Sainsbury's Stone Baked Chicken Nuggets 500g,Frozen,Sainsbury's,5.8,65,42,2
SAI-GEN0499,Nivea Classic Shampoo 250ml,Health & Beauty,Branded,1.13,57,33,3
SAI-GEN0500,Sainsbury's Chilled Baguette,Fresh Bakery,Sainsbury's,4.75,54,32,2
SAI-GEN0501,Sainsbury's finest Pork Sausages 8pk,Meat & Fish,Sainsbury's,5.43,54,34,3
SAI-GEN0502,Sainsbury's finest Bacon 300g,Meat & Fish,Sainsbury's,5.81,71,46,1
SAI-GEN0503,Coca-Cola Organic Washing Up Liquid 500ml,Household,Branded,0.81,31,22,4
SAI-GEN0504,Taste the Difference Corn Fed Bagels 5pk,Fresh Bakery,Taste the Difference,2.69,28,17,1
SAI-GEN0505,Sainsbury's So Good Hash Browns 700g,Frozen,So Good,3.39,76,53,4
SAI-GEN0506,Taste the Difference Chilled Crisps 6pk,Snacks,Taste the Difference,9.82,28,21,3
SAI-GEN0507,Sainsbury's British Muffins 4pk,Fresh Bakery,Sainsbury's,1.87,71,43,1
SAI-GEN0508,Sainsbury's Value Chicken Nuggets 500g,Frozen,Sainsbury's,7.76,53,37,3
SAI-GEN0509,Taste the Difference Roasted Baguette,Fresh Bakery,Taste the Difference,9.2,22,16,1
SAI-GEN0510,Sainsbury's Mixed Peanut Butter 280g,Ambient Grocery,Sainsbury's,5.25,51,39,2
SAI-GEN0511,Sainsbury's Corn Fed Crackers 150g,Snacks,Sainsbury's,5.63,52,33,2
SAI-GEN0512,Taste the Difference Frozen Hash Browns 700g,Frozen,Taste the Difference,3.85,32,20,1
SAI-GEN0513,Sainsbury's British Squash 1L,Drinks,Sainsbury's,7.45,64,51,1
SAI-GEN0514,Persil Scottish Sugar 1kg,Ambient Grocery,Branded,7.21,32,22,1
SAI-GEN0515,Persil Handmade Tortilla Chips 200g,Snacks,Branded,9.52,54,34,3
SAI-GEN0516,Sainsbury's Value Nuts 200g,Snacks,Sainsbury's,0.85,41,21,4
SAI-GEN0517,Sainsbury's Premium Jam 340g,Ambient Grocery,Sainsbury's,6.5,65,45,1
